"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Jun-2022","EQ","636.35","637.80","623.50","642.35","624.25","625.55","629.29","866.90","618.25",13620084,"8,571,013,180.20",209098
"28-Jun-2022","EQ","634.00","644.70","632.00","637.10","643.50","642.35","639.34","866.90","618.25",10711123,"6,848,030,408.15",159105
"27-Jun-2022","EQ","644.00","646.90","634.70","634.00","637.50","637.10","638.53","866.90","618.25",4552114,"2,906,668,615.60",153037
"24-Jun-2022","EQ","634.35","642.45","631.65","629.35","634.00","634.00","634.87","866.90","618.25",6918584,"4,392,388,765.55",188330
"23-Jun-2022","EQ","627.40","640.85","618.25","626.80","630.50","629.35","629.43","866.90","618.25",8450777,"5,319,173,785.45",139267
"22-Jun-2022","EQ","632.55","633.65","621.25","636.50","627.40","626.80","626.65","866.90","621.25",5899024,"3,696,611,236.55",97921
"21-Jun-2022","EQ","632.00","645.35","628.15","628.30","635.75","636.50","635.63","866.90","622.20",10333886,"6,568,508,178.85",132166
"20-Jun-2022","EQ","635.25","637.15","622.20","635.20","630.00","628.30","630.33","866.90","622.20",5305222,"3,344,030,189.05",114673
"17-Jun-2022","EQ","630.00","640.80","626.60","634.90","636.95","635.20","634.61","866.90","626.60",6849201,"4,346,588,166.30",173512
"16-Jun-2022","EQ","657.50","658.20","631.05","650.50","634.30","634.90","641.82","866.90","630.05",5960283,"3,825,448,126.80",225674
"15-Jun-2022","EQ","654.00","656.35","647.20","650.75","651.10","650.50","650.33","866.90","630.05",4638336,"3,016,470,777.45",101754
"14-Jun-2022","EQ","645.00","655.70","643.10","648.95","650.90","650.75","649.79","866.90","630.05",5391833,"3,503,577,106.75",210705
"13-Jun-2022","EQ","646.95","652.00","640.10","660.70","650.90","648.95","645.68","866.90","630.05",6135431,"3,961,510,722.20",277801
"10-Jun-2022","EQ","655.50","663.70","652.20","661.30","660.00","660.70","660.56","866.90","630.05",6758832,"4,464,637,955.15",140165
"09-Jun-2022","EQ","656.95","662.75","650.00","658.60","661.85","661.30","655.01","866.90","630.05",5682743,"3,722,233,988.25",109366
"08-Jun-2022","EQ","670.00","673.55","655.45","665.85","658.55","658.60","664.37","866.90","630.05",9282494,"6,167,015,838.65",146314
"07-Jun-2022","EQ","672.20","678.00","661.10","672.20","665.60","665.85","667.43","866.90","630.05",8312778,"5,548,166,162.15",131276
"06-Jun-2022","EQ","677.00","684.00","670.30","677.30","672.35","672.20","676.11","866.90","630.05",6756864,"4,568,386,259.90",170493
"03-Jun-2022","EQ","697.30","698.00","673.15","691.55","679.65","677.30","685.61","866.90","630.05",8475726,"5,811,022,287.55",168929
"02-Jun-2022","EQ","682.00","693.15","682.00","686.05","691.25","691.55","689.01","866.90","630.05",6347433,"4,373,439,007.25",103467
"01-Jun-2022","EQ","683.00","692.45","680.50","685.20","688.00","686.05","687.04","866.90","630.05",6966674,"4,786,349,946.80",102039
"31-May-2022","EQ","689.00","696.00","683.05","693.65","684.10","685.20","687.84","866.90","630.05",10410424,"7,160,700,755.15",144430
"30-May-2022","EQ","695.10","698.00","690.10","688.30","693.35","693.65","693.83","866.90","630.05",3818060,"2,649,093,964.15",72788
"27-May-2022","EQ","689.00","693.80","684.25","683.25","687.95","688.30","689.25","866.90","630.05",5539060,"3,817,822,023.90",108130
"26-May-2022","EQ","672.95","685.25","668.00","665.00","684.25","683.25","676.98","866.90","630.05",10114633,"6,847,429,554.20",160511
"25-May-2022","EQ","668.00","672.65","660.05","664.05","665.00","665.00","666.11","866.90","630.05",5169619,"3,443,511,347.80",128495
"24-May-2022","EQ","669.70","681.45","661.20","675.35","664.00","664.05","670.65","866.90","630.05",8088546,"5,424,547,200.80",132163
"23-May-2022","EQ","673.00","684.80","668.55","673.10","671.80","675.35","677.71","866.90","630.05",7919353,"5,367,030,949.10",136267
"20-May-2022","EQ","659.75","675.75","658.00","650.20","674.00","673.10","669.22","866.90","630.05",9708672,"6,497,229,078.35",136254
"19-May-2022","EQ","643.30","657.75","641.20","659.45","649.75","650.20","650.68","866.90","630.05",9216948,"5,997,248,309.85",189392
"18-May-2022","EQ","654.75","670.40","650.30","654.95","659.95","659.45","662.79","866.90","630.05",13013873,"8,625,412,168.40",168575
